,Tweet,Autor,Fecha,Likes,Retweets
18,RT @pueblopatriota: ❗️Crimea denuncia que ataques de Ucrania contra sus plataformas de perforación de gas dejaron varios heridos,Luisbasaragua6,2022-06-20 23:47:52,59,0
19,"RT @ActualidadRT: Crimea denuncia ataques de Ucrania contra plataformas de perforación

Al menos tres personas resultaron heridas en un ata…",DEPORTIV,2022-06-20 23:47:47,28,0
20,"RT @banpercie: Saludos Familia en colombia🇨🇴
desde algun lugar de Ucrania🇺🇦 https://t.co/NdVTPp3hFR",air0ee,2022-06-20 23:47:44,17,0
21,"RT @UKR_token: #ALERTA: 

Tanques rusos T-80BV llegando a Lugansk. #Video #Ucrania. https://t.co/dLJl0IsHVn",JacquelinSnch13,2022-06-20 23:47:44,34,0
22,"Entre ellos, en particular, el caso contra un soldado del 23.º batallón separado de infantería motorizada de las Fu… https://t.co/nKIaGBBiei",CFBotonesNegros,2022-06-20 23:47:42,0,0
23,RT @CONDOR32JUSTO: 🟠 ¡TODO fue PLANEADO! ⏲️ Y viene LO PEOR 🔥  [Urgente Difundir] Crisis ec... https://t.co/wWSw0smVUe a través de @YouTube…,3277Condor,2022-06-20 23:47:42,2,0
24,"RT @andreitav92: Uyy esto no le va a gustar al tal Ricardo Anaya..
A puro humo van en Alemania. 
El gobierno alemán anuncia que va a reacti…",kh3603716,2022-06-20 23:47:41,1198,0
25,"RT @SoyLCR: 🇷🇺 | La Unión Europea impulsa y declara apoyar a Ucrania en toda esta situación, pero la verdad impone sanciones ficticias ya q…",_jjpilot,2022-06-20 23:47:39,102,0
26,"@monerohernandez Que se vayan a Ucrania, los neonazis necesitan esclavos para la reconstrucción...",remmakess,2022-06-20 23:47:37,0,0
27,"RT @Pegasus15056622: Ataque MLRS del ejército 🇺🇦contra posiciones rusas en en Kherson.
Se les corto la digestión....PUMMMM!!!!!!!
#Ukraine…",DazSahily,2022-06-20 23:47:36,6,0
28,"RT @banpercie: Saludos Familia en colombia🇨🇴
desde algun lugar de Ucrania🇺🇦 https://t.co/NdVTPp3hFR",LuzMarinaPiedr4,2022-06-20 23:47:34,17,0
29,"🇷🇺🇺🇦 | Ucrania bombardeo un edificio residencial, en la ciudad Donetsk, hiriendo a 4 personas, entre ellos un niño.… https://t.co/iPR9vqvHRm",MundoEConflicto,2022-06-20 23:47:33,1,2
30,RT @pueblopatriota: Azmilitary1: ‼️👴🇺🇸🇺🇦🇪🇺Es MUY PROBABLE que Ucrania se convierta en miembro de la UE – Presidente de EE. UU. y UE-Biden (…,chugar_jhonson,2022-06-20 23:47:33,30,0
31,"RT @PhilipAMLC: Leyendo la carta d Lasso a Iza (no lo puedo creer) Desde el 1er punto (gasolina) para la cual Iza pide: Diesel $1.50, Extra…",dardevix,2022-06-20 23:47:32,202,0
32,RT @CanalDigitalN: 🇷🇺🇺🇦 | Revelan en RRSS el parecido físico entre Adolf Hitler y Volodímir Zelenski. La forma de los ojos y la nariz fuero…,GoitiaChavez,2022-06-20 23:47:32,3,0
33,RT @CarlosAJimnez4: Ucrania ha atacado una plataforma petrolera en el mar negro…y el precio del gas y petróleo para Europa se disparan…cual…,Ranthalos,2022-06-20 23:47:32,125,0
34,RT @EurekaNews10: La periodista alemana Alina Lipp se enfrenta a 3 años de prisión por su cobertura de la guerra en Ucrania https://t.co/iZ…,Comando_Patria,2022-06-20 23:47:30,275,0
35,"RT @DAVlD53: Si hay una crisis alimentaria, pero no es en Ucrania, ni Europa ...es Yemen donde según UNICEF cada 10 minutos muere un niño p…",hermann_otto71,2022-06-20 23:47:30,1942,0
36,"RT @WalterDossier: 1 Por semanas reportamos el REAL CURSO de la guerra: gravísimas pérdidas humanas/materiales ucranianas
Por eso, NO NOS E…",CarlosCatary,2022-06-20 23:47:27,76,0
37,"RT @PhilipAMLC: Leyendo la carta d Lasso a Iza (no lo puedo creer) Desde el 1er punto (gasolina) para la cual Iza pide: Diesel $1.50, Extra…",Rebelde593,2022-06-20 23:47:25,202,0
38,"@DeyaniraGomezH Da pena los ejemplos que expones, pues sabés muy bien que los comodities aumentaron de precios, tan… https://t.co/Q4a0LBqCnU",RafaelF61628160,2022-06-20 23:47:24,0,0
39,"RT @Nelsonpvzla1: ASI, ASI ES QUE SE GOBIERNA..!!
Medalla de bronce para Maduro en la cantidad de Venezolanos refugiados en el mundo según…",JoseAguilarAg13,2022-06-20 23:47:24,73,0
40,RT @andahazi: Los bombardeos rusos sobre Ucrania mataron hasta la fecha 323 niños y provocaron heridas a 586. A este criminal el presidente…,estelamoleon,2022-06-20 23:47:22,174,0
41,"RT @GonestAlbert: En Jersón, un recluta de las Fuerzas Armadas de Ucrania se rindió voluntariamente al ejército ruso. El soldado del ejérci…",jeraldino82,2022-06-20 23:47:17,13,0
42,"RT @ErikSueco: Ucrania prohíbe la música rusa: bien.
Irán prohíbe la música occidental: fanáticos

Prohibir escuchar o leer es propio de re…",hugo178134,2022-06-20 23:47:17,151,0
43,"RT @PhilipAMLC: Leyendo la carta d Lasso a Iza (no lo puedo creer) Desde el 1er punto (gasolina) para la cual Iza pide: Diesel $1.50, Extra…",necioquitoecu,2022-06-20 23:47:14,202,0
44,RT @CarlosAJimnez4: Ucrania ha atacado una plataforma petrolera en el mar negro…y el precio del gas y petróleo para Europa se disparan…cual…,betoagca,2022-06-20 23:47:13,125,0
45,"RT @Insurrectasypun: Para Turquía, la crisis de Ucrania significa una temporada abierta contra los kurdos https://t.co/IVVriqpW4C a través…",merce_blitz,2022-06-20 23:47:13,2,0
46,RT @RTultimahora: #ÚLTIMAHORA Rusia no puede garantizar que los dos mercenarios estadounidenses capturados en Ucrania no sean condenados a…,ludwig813,2022-06-20 23:47:12,41,0
47,"RT @TuAmigoTrump: Ha ganado el fascismo porque votáis mal.

Las próxima vez votad a la ""izquierda"" que arma a fascistas en Ucrania, en luga…",StormShur,2022-06-20 23:47:11,8,0
48,"RT @Agencia_VN: #Infografía 

▶️ Conoce la impresionante cifra de armamento y equipamiento militar que Estados Unidos ha entregado a Ucrani…",Josue_0703,2022-06-20 23:47:08,38,0
49,"RT @andreitav92: Uyy esto no le va a gustar al tal Ricardo Anaya..
A puro humo van en Alemania. 
El gobierno alemán anuncia que va a reacti…",YOLANDA_GLZ,2022-06-20 23:47:08,1198,0
50,RT @TronAleks: #ALERTA De acuerdo con reportes del Min de Defensa de #Rusia los #EEUU probaron neuromoduladores altamente activos en ciudad…,Co2Marina,2022-06-20 23:47:08,27,0
51,"RT @DaniMayakovski: Hoy en el episodio de ""En Ucrania no hay nazis, es propaganda del Kremlin"", un nuevo soldado nazi capturado en el frent…",FreddyJohans,2022-06-20 23:47:07,113,0
52,"RT @ErikSueco: La periodista alemana Alina Lipp se enfrenta a 3 años de cárcel por su cobertura de la guerra en Ucrania. 

3 años de cárcel…",mancha,2022-06-20 23:47:06,2159,0
53,"RT @YuryHdz08: Canciller Serguéi Lavrov 🇷🇺
Rusia inició su operativo cuando no le quedó otra manera para explicarle a Occidente que se esta…",Pteran41,2022-06-20 23:47:06,23,0
54,"RT @RusiaInforma: 🇷🇺🇺🇦⚡❗La parte ucraniana admitió lo obvio: #Metelkino quedó bajo el control de las Fuerzas Antiglobalistas #Z Gauleiter,…",Belus47881569,2022-06-20 23:47:05,11,0
55,"RT @Agencia_VN: #Infografía 

▶️ Conoce la impresionante cifra de armamento y equipamiento militar que Estados Unidos ha entregado a Ucrani…",Rebeldement3,2022-06-20 23:47:04,38,0
56,@carlosyub @Al24377072 @Perculaess @Charly_G_P @liusivaya Informe de la ONU de 2016 dice que Ucrania era un estado… https://t.co/oSzwTvKVv9,SayunDaniel,2022-06-20 23:47:03,0,1
57,RT @CarlosAJimnez4: Ucrania ha atacado una plataforma petrolera en el mar negro…y el precio del gas y petróleo para Europa se disparan…cual…,cris_geithner,2022-06-20 23:47:02,125,0
58,"RT @PhilipAMLC: Leyendo la carta d Lasso a Iza (no lo puedo creer) Desde el 1er punto (gasolina) para la cual Iza pide: Diesel $1.50, Extra…",smercedesfranco,2022-06-20 23:47:02,202,0
59,@IvanDuque Lucharemos incansables ante semejante amenaza a nuestra libertad....vemos el ejemplo de Ucrania ante una… https://t.co/GzyLE3JWWX,gacettis,2022-06-20 23:47:02,0,0
60,"RT @DAVlD53: Si hay una crisis alimentaria, pero no es en Ucrania, ni Europa ...es Yemen donde según UNICEF cada 10 minutos muere un niño p…",EdreiraGraciel1,2022-06-20 23:47:00,1942,0
61,"RT @DaniMayakovski: La ""prensa"" otanista: En Ucrania no hay nazis, es un mito, una leyenda, es propaganda del Kremlin.

Artem Bonov, el ant…",Leo53337497,2022-06-20 23:47:00,108,0
62,"RT @MichelCaballero: Después de promover el cerco comercial de europa contra Rusia, ahora Borrell denuncia un supuesto “bloqueo” ruso de ce…",RogerSegundoQu1,2022-06-20 23:46:56,357,0
63,"RT @nachomdeo: Casi el 40% de las exportaciones colombianas se componen de petróleo y sus derivados. También café y oro, materias primas qu…",Andresrm24,2022-06-20 23:46:50,3,0
64,"RT @PhilipAMLC: Leyendo la carta d Lasso a Iza (no lo puedo creer) Desde el 1er punto (gasolina) para la cual Iza pide: Diesel $1.50, Extra…",JAVIERPazmino6,2022-06-20 23:46:49,202,0
65,RT @PedroKonductaz: Las armas que Estados Unidos proporcionó a Ucrania! Vía @Agencia_VN #LaVerdadDeVenezuela https://t.co/CKQraTGHH7,carmguz,2022-06-20 23:46:47,6,0
66,RT @andahazi: Los bombardeos rusos sobre Ucrania mataron hasta la fecha 323 niños y provocaron heridas a 586. A este criminal el presidente…,GriseldaLerda,2022-06-20 23:46:47,174,0
67,"RT @Pegasus15056622: 🇺🇦🇨🇿 Lanzador RM-70 en acción, la nueva música ha llegado al frente, tócala otra vez Sam.....
#Ukraine #Ucrania #Russi…",DazSahily,2022-06-20 23:46:44,6,0
68,"RT @proceso: El primer ministro británico subrayó que en el hipotético caso de que Ucrania perdiera la guerra, ""Putin no se detendría"". htt…",Ricardez76,2022-06-20 23:46:44,10,0
69,"RT @planetagonzo: Dice Sánchez que hay que parar a ""la extrema derecha en Europa"". Por eso envía armas y dinero al batallón Azov, al batall…",rociocangla,2022-06-20 23:46:42,212,0
70,RT @RTultimahora: #ÚLTIMAHORA Rusia no puede garantizar que los dos mercenarios estadounidenses capturados en Ucrania no sean condenados a…,03Ralz,2022-06-20 23:46:41,41,0
71,RT @CarlosAJimnez4: Ucrania ha atacado una plataforma petrolera en el mar negro…y el precio del gas y petróleo para Europa se disparan…cual…,linoahm,2022-06-20 23:46:38,125,0
72,"RT @publico_es: El periodista español Pablo González lleva detenido en Polonia desde el pasado 28 de febrero, acusado de ser espía ruso

ht…",quinapaciencia,2022-06-20 23:46:37,53,0
73,"@MiguelPoloP Empezó la manipuación......  para su información:

Todas la petroleras a nivel mundial están cayendo i… https://t.co/r3eq2uCXGR",DAVIDAL77669568,2022-06-20 23:46:36,0,0
74,"RT @pburelli: Con la guerra en Ucrania 🇺🇦lejos de resolverse y sus consecuencias evidenciándose por doquier, es imposible olvidar que en me…",hjpiedra,2022-06-20 23:46:35,91,0
75,RT @CarlosAJimnez4: Ucrania ha atacado una plataforma petrolera en el mar negro…y el precio del gas y petróleo para Europa se disparan…cual…,luppogamma,2022-06-20 23:46:34,125,0
76,"RT @entreguerrras: Lavrov: 
""Hable con ciudadanos de Irak o Libia cuyos países quedaron arruinados. Después de esto, la OTAN se llama a sí…",Guiller6127,2022-06-20 23:46:34,282,0
77,"RT @dw_espanol: #Ucrania prevé ataques rusos de mayor intensidad en los próximos días

Zelenski hace este anuncio cuando Kiev espera la dec…",lubricac2,2022-06-20 23:46:32,59,0
78,"RT @RicardoArtigas9: La secretaria del Tesoro de EE.UU., Janet Yellen, reconoce que el deseo de Washington de «castigar» a Rusia por su ope…",aponwaog,2022-06-20 23:46:31,24,0
79,RT @FierroFortis: 🇺🇦Ucrania ha atacado con misiles una plataforma petrolífera rusa en el Mar Negro (objetivo civil) dejando decenas de trab…,Hermes61629648,2022-06-20 23:46:31,327,0
80,"RT @PhilipAMLC: Leyendo la carta d Lasso a Iza (no lo puedo creer) Desde el 1er punto (gasolina) para la cual Iza pide: Diesel $1.50, Extra…",Fer_Luftwaffe,2022-06-20 23:46:27,202,0
81,RT @TronAleks: Las Fuerzas Armadas de #Ucrania se niegan el traslado al área de Severodonetsk debido a las enormes pérdidas. Para tratar de…,enbcncat,2022-06-20 23:46:26,28,0
82,"RT @VanessaOrtizz: Mientras envía armamento militar a Ucrania, el gobierno de Alemania pide al pueblo ahorrar gas tras la crisis. Muy ""demó…",aponwaog,2022-06-20 23:46:22,68,0
83,"RT @marianpy1: Que cachondo Zelesky, el Donbass ya no es Ucrania y el cocainómano nazi ni con todo el armamento de EU y EEUU ha podido evit…",thebosscule,2022-06-20 23:46:22,4,0
84,RT @CarlosAJimnez4: Ucrania ha atacado una plataforma petrolera en el mar negro…y el precio del gas y petróleo para Europa se disparan…cual…,calderonjcarls,2022-06-20 23:46:19,125,0
85,RT @liusivaya: Ucrania acaba de atacar territorio de Rusia con 15 proyectiles calibre 155mm enviados por la OTAN. Hay una víctima mortal.…,CarlosEspAlc,2022-06-20 23:46:19,910,0
86,"RT @DAVlD53: Si hay una crisis alimentaria, pero no es en Ucrania, ni Europa ...es Yemen donde según UNICEF cada 10 minutos muere un niño p…",LineSbelt,2022-06-20 23:46:19,1942,0
87,RT @DaniMayakovski: Las fuerzas especiales rusas del grupo🅾️ desnazificaron a varios ucronazis del Batallón Aidar en la región de Slovyansk…,aggantesde,2022-06-20 23:46:18,26,0
88,RT @FierroFortis: 🇺🇦Ucrania ha atacado con misiles una plataforma petrolífera rusa en el Mar Negro (objetivo civil) dejando decenas de trab…,jose36654012,2022-06-20 23:46:14,327,0
89,RT @TronAleks: #ULTIMAHORA El régimen de #Kiev asegura que #Bielorrusia pronto atacará a #Ucrania cerca de la dirección de #Kiev para abrir…,A_Jorge2013,2022-06-20 23:46:14,6,0
90,"RT @Pegasus15056622: 🇬🇪 Multitudinaria manifestación en Tiflis para demostrar el apoyo de la ciudadanía ""a la opción europea y los valores…",DazSahily,2022-06-20 23:46:14,5,0
91,"RT @PhilipAMLC: Leyendo la carta d Lasso a Iza (no lo puedo creer) Desde el 1er punto (gasolina) para la cual Iza pide: Diesel $1.50, Extra…",InesitaChurona,2022-06-20 23:46:11,202,0
92,Las fuerzas rusas capturaron territorio a lo largo de un río en el este de Ucrania e intensificaron la presión sobr… https://t.co/OPqHGDXuzl,larepublica_co,2022-06-20 23:46:10,0,0
93,"RT @Elminarca: 2) Hay una guerra en Rusia y Ucrania! Es normal que la comida esté cara

3) Vivimos 20 años de uribismo, es obvio que iba a…",JaimeThach,2022-06-20 23:46:09,57,0
94,"RT @DaniMayakovski: Hoy en el episodio de ""En Ucrania no hay nazis, es propaganda del Kremlin"", un nuevo soldado nazi capturado en el frent…",aggantesde,2022-06-20 23:46:08,113,0
95,"RT @AngAsgg: Los Valores Europeos que nos unen contra Rusia y la prehistoria.
Los valores de Ucrania es el precio del kilo de bebé
Y el val…",hergarjoel,2022-06-20 23:46:08,1,0
96,RT @MrAnkonian: Casi todas las petroleras del mundo caen hoy en la bolsa por el comportamiento del dólar y la guerra en Ucrania. De hecho a…,Theevilreapeer,2022-06-20 23:46:04,7,0
97,RT @andahazi: Los bombardeos rusos sobre Ucrania mataron hasta la fecha 323 niños y provocaron heridas a 586. A este criminal el presidente…,xmasrepublica,2022-06-20 23:46:04,174,0
98,RT @jenarovillamil: Inicia el Global Media Fórum organizado por la @dw_espanol. Más de 90 países y representantes de medios en primer encue…,georyano,2022-06-20 23:46:02,13,0
99,"RT @VanessaOrtizz: EEUU envió a Ucrania 10 obuses M777, Rusia informa que lo convirtió en chatarra. El mejor regalo para el Día del Padre a…",Comando_Patria,2022-06-20 23:46:02,593,0
